triconsonantiqueprceavecalternancevc	nouveau	term	"triconsonantique (PRCE) avec alternance V-C."											"triconsonantique (PRCE) avec alternance V-C."								t10010249-1982-04-CR.xml		
emmanuelamiot	nouveau	persName	"Emmanuel Amiot"											"Emmanuel Amiot"								t10010249-1982-04-CR.xml		
conteavotrefaconalenvers	nouveau	title	"Conte à votre façon à l’envers"											"Conte à votre façon à l’envers"								t10010249-1982-04-CR.xml		
histoireromaineetoulipo	nouveau	title	"Histoire romaine et Oulipo"											"Histoire romaine et Oulipo"								t10010249-1982-04-CR.xml		
garybloom	nouveau	persName	"Gary Bloom"											"Gary Bloom"								t10010249-1982-04-CR.xml		
bleclerc	nouveau	persName	"B. Leclerc"											"B. Leclerc"								t10010249-1982-04-CR.xml		
stagedevilleneuve	nouveau	name	"stage de Villeneuve"											"stage de Villeneuve"								"t10010249-1982-04-CR.xml
t10010249-1982-04-CV.xml"		
contraintedudyslexique	nouveau	term	"contrainte du dyslexique"											"contrainte du dyslexique"								t10010249-1982-04-CR.xml		
liberationduprisonnier	nouveau	term	"libération du prisonnier"											"libération du prisonnier"								t10010249-1982-04-CR.xml		
stage	nouveau	orgName	Stage											Stage								t10010249-1982-04-CR.xml		
oulipogalaxie	nouveau	name	"Oulipo Galaxie"											"Oulipo Galaxie"								t10010249-1982-04-CR.xml		
annieharleauxfaury	nouveau	persName	"Annie Harleaux-Faury"											"Annie Harleaux-Faury"								t10010249-1982-04-CR.xml		
lectureperec	nouveau	name	"Lecture Perec"											"Lecture Perec"								t10010249-1982-04-CR.xml		
ziegelmeye	nouveau	persName	Ziegelmeye											Ziegelmeye								t10010249-1982-04-CR.xml		
plainechart	nouveau	title	Plaine-Chart											Plaine-Chart								t10010249-1982-04-CR.xml		
oulipocerisy	nouveau	name	Oulipo-Cerisy											Oulipo-Cerisy								t10010249-1982-04-CR.xml		
perechm	nouveau	persName	"Perec HM"											"Perec HM"								t10010249-1982-04-CR.xml		
calvinoic	nouveau	persName	"Calvino I.C"											"Calvino I.C"								t10010249-1982-04-CR.xml		
zerbi	nouveau	persName	Zerbi											Zerbi								t10010249-1982-04-CR.xml		
yiking	nouveau	title	"Yi King"											"Yi King"								t10010249-1982-04-CR.xml		
drivet	nouveau	persName	DRIVET											DRIVET								t10010249-1982-04-CV.xml		
perecoulipoqueneau	nouveau	name	Perec-oulipo-Queneau											Perec-oulipo-Queneau								t10010249-1982-04-CV.xml		
flammariongalaxie	nouveau	orgName	Flammarion-Galaxie											Flammarion-Galaxie								t10010249-1982-04-CV.xml		
rameil	nouveau	persName	Rameil											Rameil								t10010249-1982-04-CV.xml		
lesgrandscourants	nouveau	title	"Les grands courants"											"Les grands courants"								t10010249-1982-04-CV.xml		
rencontresignature	nouveau	name	rencontre-signature											rencontre-signature								t10010249-1982-04-CV.xml		
liberation	nouveau	title	Libération											Libération								t10010308-1987-09-CV.xml		
