bourges	nouveau	name	Bourges											Bourges								"t10010237-1981-03-CR.xml
t10010237-1981-03-OJ.xml
t10010238-1981-04-CR.xml
t10010238-1981-04-OJ.xml
t10010239-1981-05-OJ.xml"		
simonnet	nouveau	persName	Simonnet											Simonnet								"t10010237-1981-03-CR.xml
t10010237-1981-03-OJ.xml"		
queneaudechiffre	nouveau	title	"Queneau déchiffré "											"Queneau déchiffré "								t10010237-1981-03-CR.xml		
amisdevalentinbru	nouveau	orgName	"Amis de Valentin Brû"											"Amis de Valentin Brû"								t10010237-1981-03-CR.xml		
julientorma	nouveau	persName	"Julien Torma."											"Julien Torma."								t10010237-1981-03-CR.xml		
apostrophes	nouveau	name	Apostrophes											Apostrophes								t10010237-1981-03-CR.xml		
gdumezil	nouveau	persName	"G. Dumézil"											"G. Dumézil"								t10010237-1981-03-CR.xml		
actionpoetique	nouveau	name	"Action Poétique"											"Action Poétique"								"t10010237-1981-03-CR.xml
t10010237-1981-03-OJ.xml"		
franceculture	nouveau	orgName	France-Culture											France-Culture								"t10010237-1981-03-CR.xml
t10010237-1981-03-OJ.xml
t10010238-1981-04-CR.xml
t10010248-1982-03-CR.xml"		
martine	nouveau	persName	Martine											Martine								"t10010237-1981-03-CR.xml
t10010246-1982-01-CV.xml"		
ousexpo	nouveau	term	"Ousexpo "											"Ousexpo "								t10010237-1981-03-CR.xml		
liposexie	nouveau	term	liposexie											liposexie								t10010237-1981-03-CR.xml		
hypermorale	nouveau	term	hypermorale 											hypermorale 								"t10010237-1981-03-CR.xml
t10010237-1981-03-OJ.xml"		
radiofrance	nouveau	orgName	"Radio France"											"Radio France"								t10010237-1981-03-CR.xml		
palindromes	nouveau	term	palindromes											palindromes								"t10010237-1981-03-CR.xml
t10010246-1982-01-CR.xml"		
beaubourg	nouveau	orgName	Beaubourg											Beaubourg								"t10010237-1981-03-CR.xml
t10010237-1981-03-OJ.xml"		
palindromephonetique	nouveau	term	"palindrome phonétique."											"palindrome phonétique."								t10010237-1981-03-CR.xml		
moraleelementaire	nouveau	title	"Morale Elémentaire"											"Morale Elémentaire"								"t10010237-1981-03-CR.xml
t10010246-1982-01-CR.xml
t10010249-1982-04-CR.xml"		
poemeinfini	nouveau	term	"poème infini"											"poème infini"								"t10010237-1981-03-CR.xml
t10010238-1981-04-OJ.xml"		
carresemantiquedegreimas	nouveau	term	"Carré sémantique de Greimas"											"Carré sémantique de Greimas"								t10010237-1981-03-CR.xml		
hyperlecteur	nouveau	term	hyperlecteur											hyperlecteur								"t10010237-1981-03-CR.xml
t10010237-1981-03-CR.xml"		
faussaire	nouveau	term	faussaire											faussaire								t10010237-1981-03-CR.xml		
descriptionsdetableau	nouveau	term	"descriptions de tableau"											"descriptions de tableau"								t10010237-1981-03-CR.xml		
legendes	nouveau	title	Légendes											Légendes								"t10010237-1981-03-CR.xml
t10010237-1981-03-OJ.xml"		
ioetleloup	nouveau	title	"Io et le Loup "											"Io et le Loup "								t10010237-1981-03-CR.xml		
seanceoulipodu23marsabeaubourg	nouveau	name	"séance Oulipo du 23 mars à Beaubourg"											"séance Oulipo du 23 mars à Beaubourg"								t10010237-1981-03-CR.xml		
contrainteprovisoire	nouveau	term	"contrainte provisoire"											"contrainte provisoire"								t10010237-1981-03-CR.xml		
seancebeaubourg	nouveau	name	"séance Beaubourg"											"séance Beaubourg"								t10010237-1981-03-CV.xml		
rimesenoulipo	nouveau	term	"rimes en oulipo"											"rimes en oulipo"								"t10010237-1981-03-CV.xml
t10010237-1981-03-OJ.xml"		
ouvroirxpotentiel	nouveau	term	"ouvroir x potentiel"											"ouvroir x potentiel"								t10010237-1981-03-OJ.xml		
contraintedeberge	nouveau	term	"Contrainte de Berge"											"Contrainte de Berge"								t10010237-1981-03-OJ.xml		
voyageur	nouveau	title	Voyageur											Voyageur								t10010237-1981-03-OJ.xml		
volume2	nouveau	title	"Volume 2"											"Volume 2"								t10010237-1981-03-OJ.xml		
journeeoulipo23	nouveau	name	"journée oulipo 23"											"journée oulipo 23"								t10010237-1981-03-OJ.xml		
villeneuvelesavignon	nouveau	name	"Villeneuve les Avignon"											"Villeneuve les Avignon"								"t10010237-1981-03-OJ.xml
t10010239-1981-05-CR.xml"		
chapon	nouveau	persName	Chapon											Chapon								t10010237-1981-03-OJ.xml		
chezmarcelbenabou	nouveau	placeName	"chez Marcel Bénabou"											"chez Marcel Bénabou"								"t10010238-1981-04-CR.xml
t10010239-1981-05-CR.xml"		
rsabatier	nouveau	persName	"R. Sabatier"											"R. Sabatier"								t10010238-1981-04-CR.xml		
drouant	nouveau	orgName	Drouant											Drouant								t10010238-1981-04-CR.xml		
stagedevilleneuvelesavignon	nouveau	name	"stage de Villeneuve-les-Avignon"											"stage de Villeneuve-les-Avignon"								t10010238-1981-04-CR.xml		
publication	nouveau	persName	Publication											Publication								t10010238-1981-04-CR.xml		
circa	nouveau	orgName	CIRCA											CIRCA								t10010238-1981-04-CR.xml		
jouanard	nouveau	persName	Jouanard											Jouanard								"t10010238-1981-04-CR.xml
t10010248-1982-03-CR.xml"		
marcel	nouveau	persName	Marcel											Marcel								"t10010238-1981-04-CR.xml
t10010238-1981-04-OJ.xml
t10010247-1982-02-CV.xml"		
carelman	nouveau	persName	CARELMAN											CARELMAN								"t10010238-1981-04-CR.xml
t10010239-1981-05-CR.xml"		
lintersection	nouveau	term	l’intersection											l’intersection								t10010238-1981-04-CR.xml		
metrique	nouveau	term	métrique											métrique								t10010238-1981-04-CR.xml		
sanctuaire	nouveau	title	Sanctuaire											Sanctuaire								t10010238-1981-04-CR.xml		
bibliothequeoulipienne	nouveau	title	"Bibliothèque Oulipienne"											"Bibliothèque Oulipienne"								"t10010238-1981-04-CR.xml
t10010238-1981-04-CR.xml"		
leromancache	nouveau	title	"Le roman caché."											"Le roman caché."								t10010238-1981-04-CR.xml		
lefilsderubylamarr	nouveau	title	"Le fils de Ruby Lamarr"											"Le fils de Ruby Lamarr"								t10010238-1981-04-CR.xml		
