"id"	"forme"	"label"
"annieharleauxfaury"	"Annie Harleaux-Faury"	"forme alternative"
"anouilh"	"Anouilh"	"forme préférée"
"anthonioz"	"Anthonioz"	"forme préférée"
"anthonybonner"	"Anthony Bonner"	"forme alternative"
"anthonypowell"	"Anthony Powell"	"forme alternative"
"antoine"	"Antoine"	"forme préférée"
"antoineopach"	"Antoine Opach"	"forme alternative"
"geraldantoine"	"Antoine, Gérald"	"forme préférée"
"sanantonio"	"Antonio, San"	"forme préférée"
"apollinaire"	"Apollinaire"	"forme préférée"
"sidoineapollinaire"	"Apollinaire, Sidoine"	"forme préférée"
"apollonius"	"Apollonius"	"forme préférée"
"apostel"	"Apostel"	"forme préférée"
"apostel"	"APOSTEL"	"forme alternative"
"arabellabover"	"Arabella Bover"	"forme alternative"
"aragon"	"Aragon"	"forme préférée"
"aramis"	"Aramis"	"forme préférée"
"ariane"	"Ariane"	"forme préférée"
"harinaga"	"Arinaga, H."	"forme préférée"
"harinaga"	"Arinaga, M."	"forme alternative"
"aristote"	"Aristote"	"forme préférée"
"arlette"	"Arlette"	"forme préférée"
"arlettedupont"	"Arlette Dupont"	"forme alternative"
"armandlanoux"	"Armand Lanoux"	"forme alternative"
"na"	"Arnaud"	"forme alternative"
"na"	"arnaud"	"forme alternative"
"anaarnaudblieberge"	"Arnaud Blieberge, Ana"	"forme préférée"
"na"	"Arnaud Noël"	"forme alternative"
"na"	"Arnaud, No.L"	"forme alternative"
"na"	"Arnaud, Noël"	"forme préférée"
"na"	"arnaudnoel"	"forme alternative"
"arnoldkaufmann"	"Arnold Kaufmann"	"forme alternative"
"arp"	"Arp"	"forme alternative"
"arp"	"Arp, Jean"	"forme préférée"
"arsace"	"Arsace"	"forme préférée"
"arthurdlittle"	"Arthur D. Little"	"forme alternative"
"arthurrank"	"Arthur Rank"	"forme alternative"
"arthurrimbaud"	"Arthur Rimbaud"	"forme alternative"
"arvers"	"Arvers"	"forme préférée"
"johnashbery"	"Ashbery, John"	"forme préférée"
"ashleymontagu"	"Ashley Montagu"	"forme alternative"
"hm"	"athews"	"forme alternative"
"attali"	"Attali"	"forme préférée"
"attias"	"Attias"	"forme préférée"
"attias"	"ATTIAS"	"forme alternative"
"auclair"	"Auclair"	"forme préférée"
"audebrand"	"Audebrand"	"forme préférée"
"ma"	"Audin"	"forme alternative"
"ma"	"audin"	"forme alternative"
"ma"	"Audin Michèle"	"forme alternative"
"ma"	"Audin, Michèle"	"forme préférée"
"ma"	"audinmichele"	"forme alternative"
"augustecomte"	"Auguste Comte"	"forme alternative"
"philippeauguste"	"Auguste, Philippe"	"forme préférée"
"augustusdemorgan"	"Augustus de Morgan"	"forme alternative"
"aunis"	"Aunis"	"forme préférée"
"aurier"	"Aurier"	"forme préférée"
"vincentauriol"	"Auriol, Vincent"	"forme préférée"
"dominiqueaury"	"Aury, Dominique"	"forme préférée"
"alanausen"	"Ausen, Alan"	"forme préférée"
"marcavelot"	"Avelot, Marc"	"forme préférée"
"vaxionov"	"Axionov, Vassili"	"forme préférée"
"mayme"	"Aymé, Marcel"	"forme préférée"
"mb"	"B"	"forme alternative"
"ericb"	"B, Eric"	"forme préférée"
"isabelleb"	"B, Isabelle"	"forme préférée"
"jacquelineb"	"B, Jacqueline"	"forme préférée"
"bc"	"B. Cerquiglini"	"forme alternative"
"bcoutez"	"B. Coutez"	"forme alternative"
"bdemers"	"B. Demers"	"forme alternative"
"bgautier"	"B. Gauthier"	"forme alternative"
"bgautier"	"B. Gautier"	"forme alternative"
"jaulin"	"B. Jaulin"	"forme alternative"
"jerome"	"B. Jérôme"	"forme alternative"
"bleclerc"	"B. Leclerc"	"forme alternative"
"bmagnien"	"B. Magnien"	"forme alternative"
"tournois"	"B. Tournois"	"forme alternative"
"bviz"	"B. Viz"	"forme alternative"
"bwaller"	"B. Waller"	"forme alternative"
"bwright"	"B. Wright"	"forme alternative"
"bourbonbusset"	"B.B."	"forme alternative"
"br"	"B.R."	"forme préférée"
"ba"	"BA"	"forme alternative"
"badillou"	"Badillou"	"forme préférée"
"bailly"	"Bailly"	"forme alternative"
"mbaillu"	"Bailly, F."	"forme préférée"
"baj"	"BAJ"	"forme alternative"
"enricobaj"	"Baj"	"forme alternative"
"enricobaj"	"Baj, E."	"forme alternative"
"enricobaj"	"Baj, Enrico"	"forme préférée"
"bajazet"	"Bajazet"	"forme préférée"
"bajazet"	"BAJAZET"	"forme alternative"
"bakhtine"	"Bakhtine"	"forme préférée"
"balazard"	"Balazard"	"forme préférée"
"mbalestra"	"Balestra, Constant"	"forme préférée"
"balezepascal"	"Balèze Pascal"	"forme alternative"
"ballestrini"	"Ballestrini"	"forme préférée"
"reneballigan"	"Balligan, René"	"forme préférée"
"jpbalpe"	"Balpe"	"forme alternative"
"jpbalpe"	"Balpe, Jean-Pierre"	"forme alternative"
"jpbalpe"	"Balpe, Jean-Pierre"	"forme préférée"
"balzac"	"Balzac"	"forme alternative"
"balzac"	"Balzac (de), Honoré"	"forme préférée"
"mgeorgesbarbarin"	"Barbarin, Georges"	"forme préférée"
"barbaud"	"Barbaud"	"forme préférée"
"pierrebarbaud"	"Barbaud, Pierre"	"forme préférée"
"barbiervemars"	"Barbier Vémars"	"forme alternative"
"brigittebardot"	"Bardot, Brigitte"	"forme préférée"
"jbarine"	"Barine, J"	"forme préférée"
"barnabebarnes"	"Barnabe Barnes"	"forme alternative"
"barnabebarnes"	"Barnes, Barnabe"	"forme préférée"
"louisbarnier"	"Barnier, Louis"	"forme préférée"
"mlucienbarnier"	"Barnier, Lucien"	"forme préférée"
"baronmollet"	"Baron Mollet"	"forme alternative"
"raymondbarre"	"Barre, Raymond"	"forme préférée"
"barrot"	"Barrot"	"forme préférée"
"rolandbarthes"	"Barthes"	"forme alternative"
"rolandbarthes"	"Barthes, Roland"	"forme préférée"
"stellabaruk"	"Baruk, Stella"	"forme préférée"
"bataille"	"Bataille"	"forme préférée"
"baudelaire"	"Baudelaire"	"forme préférée"
"baudelaire"	"BAUDELAIRE"	"forme alternative"
"fbaudin"	"Baudin, Fernand"	"forme préférée"
"jeanbaudot"	"Baudot"	"forme alternative"
"jeanbaudot"	"Baudot, Jean"	"forme préférée"
"baudouin"	"Baudouin"	"forme préférée"
"baum"	"Baum"	"forme préférée"
"labbebauvais"	"Bauvais, L'abbé"	"forme préférée"
"bay"	"Bay"	"forme préférée"
"themersonbayamus"	"Bayamus, Themerson"	"forme préférée"
"hbazin"	"Bazin, Hervé"	"forme préférée"
"bourbonbusset"	"bb"	"forme alternative"
"bergebensbraffort"	"BBB"	"forme alternative"
"bergebensbraffort"	"bbb"	"forme alternative"
"bc"	"BC"	"forme alternative"
"bc"	"bc"	"forme alternative"
"bc"	"bcerquiglini"	"forme alternative"
"cb"	"Be"	"forme alternative"
"jb"	"Be"	"forme alternative"
"pbearn"	"Béarn, Pierre"	"forme préférée"
"beatrixbeck"	"Béatrix Beck"	"forme alternative"
"beaudin"	"Beaudin"	"forme préférée"
"beaudoin"	"Beaudoin"	"forme préférée"
"vb"	"Beaudouin"	"forme alternative"
"vb"	"beaudouin"	"forme alternative"
"vb"	"Beaudouin Valérie"	"forme alternative"
"vb"	"Beaudouin, Valérie"	"forme préférée"
"vb"	"beaudouinvalerie"	"forme alternative"
"beaumatin"	"Beaumartin, Eric"	"forme préférée"
"beaumatin"	"Beaumatin"	"forme alternative"
"beatrixbeck"	"Beck, Béatrix"	"forme préférée"
"christianbeck"	"Beck, C."	"forme alternative"
"christianbeck"	"Beck, Christian"	"forme préférée"
"beckett"	"Beckett"	"forme préférée"
"chbek"	"Bek, Ch."	"forme préférée"
"yvonbelaval"	"Belaval"	"forme alternative"
"yvonbelaval"	"Belaval, Yvon"	"forme préférée"
"belier"	"Bélier"	"forme préférée"
"dubellay"	"Bellay, Du"	"forme préférée"
"bellos"	"Bellos"	"forme alternative"
"davidbellos"	"Bellos, D."	"forme alternative"
"davidbellos"	"Bellos, David"	"forme préférée"
"ben"	"Ben"	"forme préférée"
"mb"	"benabou"	"forme alternative"
"mb"	"Bénabou"	"forme alternative"
"benaboujean"	"Bénabou (Jean)"	"forme alternative"
"mb"	"Bénabou Marcel"	"forme alternative"
"isabellebnabou"	"Bénabou, Isabelle"	"forme préférée"
"benaboujean"	"Bénabou, Jean"	"forme préférée"
"mb"	"Bénabou, Marcel"	"forme préférée"
"mb"	"benaboumarcel"	"forme alternative"
"bennington"	"Bennington"	"forme préférée"
"mandelbrot"	"Benoît MANDELBROT"	"forme alternative"
"benozilio"	"Benozilio"	"forme préférée"
"jb"	"Bens"	"forme alternative"
"jb"	"bens"	"forme alternative"
"jb"	"Bens Jacques"	"forme alternative"
"jb"	"Bens, Jacques"	"forme préférée"
"benschi"	"Benschi"	"forme préférée"
"benschi"	"BENSCHI"	"forme alternative"
"maxbense"	"Bense"	"forme alternative"
"maxbense"	"Bense, Max"	"forme préférée"
"mmebense"	"Bense, Mme"	"forme préférée"
"benshi"	"Benshi"	"forme préférée"
"giacomobensi"	"Bensi, Giacomo"	"forme préférée"
"jb"	"bensjacques"	"forme alternative"
"bentley"	"Bentley"	"forme préférée"
"benzedupuis"	"Benze Dupuis"	"forme alternative"
"beres"	"Berès"	"forme alternative"
"beres"	"Bérès"	"forme alternative"
"berenice"	"Berenice"	"forme préférée"
"berenice"	"BERENICE"	"forme alternative"
"beres"	"Beres"	"forme préférée"
"cb"	"Berge"	"forme alternative"
"cb"	"berge"	"forme alternative"
"cb"	"Berge Claude"	"forme alternative"
"cb"	"Berge, Claude"	"forme préférée"
"mmeberge"	"Berge, Mme"	"forme préférée"
"bergebensbraffort"	"bergebensbraffort"	"forme alternative"
"cb"	"bergeclaude"	"forme alternative"
"bergens"	"Bergens, Andrée"	"forme préférée"
"bergeossedenage"	"Bergeosse-De-Nage"	"forme préférée"
"bergeossedenage"	"BERGEOSSE-DE-NAGE"	"forme alternative"
"emilebergerat"	"Bergerat, Emile"	"forme préférée"
"bergerson"	"Bergerson"	"forme alternative"
"jacquesbergier"	"Bergier, Jacques"	"forme préférée"
"jacquesbergier"	"Bergierj."	"forme alternative"
"berloquin"	"Berloquin"	"forme préférée"
"bernard"	"Bernard"	"forme préférée"
"bernard"	"Bernard"	"forme alternative"
"bc"	"Bernard C"	"forme alternative"
"bc"	"Bernard Cerquiglini"	"forme alternative"
"bernardjaulin"	"Bernard Jaulin"	"forme alternative"
"bernardjazy"	"Bernard Jazy"	"forme alternative"
"bernardlazare"	"Bernard Lazare"	"forme alternative"
"bernardmagne"	"Bernard Magné"	"forme alternative"
"bernardparzysz"	"Bernard Parzysz"	"forme alternative"
"bernardquemada"	"Bernard Quemada"	"forme alternative"
"bernardtournois"	"Bernard Tournois"	"forme alternative"
"bernardwaller"	"Bernard Waller"	"forme alternative"
"michelbernard"	"Bernard, Michel"	"forme préférée"
"tristanbernard"	"Bernard, Tristan"	"forme préférée"
"bc"	"bernardc"	"forme alternative"
"bc"	"bernardcerquiglini"	"forme alternative"
"bernasconi"	"Bernasconi"	"forme préférée"
"emileberr"	"Berr, Emile"	"forme préférée"
"johnberryman"	"Berryman, John"	"forme préférée"
"bersich"	"Bersich"	"forme préférée"
"fredericberthet"	"Berthet, Fréderic"	"forme préférée"
"eb"	"Berti"	"forme alternative"
"eb"	"berti"	"forme alternative"
"eb"	"Berti Eduardo"	"forme alternative"
"eb"	"Berti, Eduardo"	"forme préférée"
"eb"	"bertieduardo"	"forme alternative"
"bertin"	"Bertin"	"forme préférée"
"aloysiusbertrand"	"Bertrand, Aloysius"	"forme préférée"
"besancon"	"Besançon"	"forme préférée"
"bessedelarzes"	"Besse de Larzes"	"forme alternative"
"docteurbessis"	"Bessis, Docteur"	"forme préférée"
"beton"	"Beton"	"forme préférée"
"bettencourt"	"Bettencourt"	"forme alternative"
"bettencourt"	"Bettencourt, P."	"forme préférée"
"saintebeuve"	"Beuve, Sainte"	"forme préférée"
"gauthier"	"BG"	"forme alternative"
"gauthier"	"bg"	"forme alternative"
"bibifricotin"	"Bibi Fricotin"	"forme alternative"
"cheribibi"	"Bibi, Cheri"	"forme préférée"
"billetdoux"	"Billetdoux"	"forme préférée"
"billy"	"Billy"	"forme alternative"
"billy"	"Billy, D."	"forme alternative"
"billy"	"Billy, Dominique"	"forme préférée"
"ab"	"BL"	"forme alternative"
"ab"	"bl"	"forme alternative"
"bgautier"	"Bl. Gauthier"	"forme alternative"
"blaisecendrars"	"Blaise Cendrars"	"forme alternative"
"bgautier"	"Blaise Gauthier"	"forme alternative"
"bgautier"	"Blaise Gautier"	"forme alternative"
"blaisepascal"	"Blaise Pascal"	"forme alternative"
"bgautier"	"blaisegauthier"	"forme alternative"
"jnblanc"	"Blanc, J.-N."	"forme alternative"
"jnblanc"	"Blanc, Jean-Noël"	"forme préférée"
"blav"	"Blav"	"forme préférée"
"ab"	"Blavier"	"forme alternative"
"ab"	"blavier"	"forme alternative"
"ab"	"Blavier André"	"forme alternative"
"ab"	"Blavier, André"	"forme préférée"
"madameblavier"	"Blavier, Madame"	"forme préférée"
"mmeblavier"	"Blavier, Mme"	"forme préférée"
"ab"	"blavierandre"	"forme alternative"
"peterblegvad"	"Blegvad, Peter"	"forme préférée"
"blier"	"Blier"	"forme préférée"
"garybloom"	"Bloom, Gary"	"forme préférée"
"bn"	"BN"	"forme alternative"
"bobcarol"	"Bob Carol"	"forme alternative"
"bobwilson"	"Bob Wilson"	"forme alternative"
"wittig"	"Bob Wittig"	"forme alternative"
"bobbylapointe"	"Bobby Lapointe"	"forme alternative"
"bobert"	"Bobert"	"forme préférée"
"fcbocquillon"	"Bocquillon, Onésime"	"forme préférée"
"nbohr"	"Bohr, Niels"	"forme préférée"
"boileau"	"Boileau"	"forme préférée"
"bollatiboringhieri"	"Bollati Boringhieri"	"forme alternative"
"linobolzoni"	"Bolzoni, Lino"	"forme préférée"
"bombaugh"	"Bombaugh"	"forme préférée"
"bonaparte"	"Bonaparte"	"forme préférée"
"boni"	"Boni"	"forme préférée"
"bonino"	"Bonino"	"forme préférée"
"anthonybonner"	"Bonner, Anthony"	"forme préférée"
"anthonybonner"	"Bonner, Anthony"	"forme alternative"
"boole"	"Boole"	"forme préférée"
"leonbopp"	"Bopp"	"forme alternative"
"leonbopp"	"Bopp, Léon"	"forme préférée"
"bor"	"Bor"	"forme préférée"
"bor"	"BOR"	"forme alternative"
"borbic"	"Borbic"	"forme préférée"
"bordas"	"Bordas"	"forme préférée"
"bordaz"	"Bordaz"	"forme préférée"
"bordaz"	"BORDAZ"	"forme alternative"
"alainborer"	"Borer, Alain"	"forme préférée"
"borges"	"Borgès"	"forme préférée"
"bollatiboringhieri"	"Boringhieri, Bollati"	"forme préférée"
"borisrybak"	"Boris Rybak"	"forme alternative"
"borisvian"	"Boris Vian"	"forme alternative"
"jeanborzic"	"Borzic"	"forme alternative"
"jeanborzic"	"Borzic, Jean"	"forme préférée"
"bossuet"	"Bossuet"	"forme préférée"
"bottin"	"Bottin"	"forme préférée"
"sebastienbottin"	"Bottin, Sebastien"	"forme préférée"
"bouche"	"Bouché, Henri-Pol"	"forme préférée"
"boucher"	"Boucher"	"forme préférée"
"josephboulmier"	"Boulmier, Joseph"	"forme préférée"
"bourbaki"	"Bourbaki"	"forme préférée"
"bourbonbusset"	"Bourbon-Busset"	"forme préférée"
"bourbonbusset"	"bourbonbusset"	"forme alternative"
"bourbons"	"Bourbons"	"forme préférée"
"sergebourdin"	"Bourdin, Serge"	"forme préférée"
"dominiquebourgeois"	"Bourgeois, Dominique"	"forme préférée"
"paulbourget"	"Bourget, Paul"	"forme préférée"
"bournazel"	"Bournazel"	"forme préférée"
"bouvier"	"Bouvier, Alexis"	"forme préférée"
"arabellabover"	"Boverarabella"	"forme préférée"
"boyer"	"Boyer"	"forme préférée"
"philoxeneboyer"	"Boyer, Philoxène"	"forme préférée"
"pb"	"Braff"	"forme alternative"
"pb"	"Braff."	"forme alternative"
"pb"	"Brafford"	"forme alternative"
"pb"	"Braffort"	"forme alternative"
"pb"	"braffort"	"forme alternative"
"pb"	"Braffort Paul"	"forme alternative"
"etiennebraffort"	"Braffort, Etienne"	"forme préférée"
"mmebraffort"	"Braffort, Madame"	"forme alternative"
"mmebraffort"	"Braffort, Mme"	"forme préférée"
"pb"	"Braffort, Paul"	"forme préférée"
"pb"	"braffortpaul"	"forme alternative"
"braille"	"Braille"	"forme préférée"
"brandt"	"Brandt"	"forme préférée"
"brasillach"	"Brasillach"	"forme préférée"
"raphaelbrassart"	"Brassart, Raphael"	"forme préférée"
"breard"	"Bréard"	"forme alternative"
"breard"	"Bréard, Camille"	"forme préférée"
"brebaut"	"Brébaut"	"forme préférée"
"jacquesbrel"	"Brel, Jacques"	"forme préférée"
"bretecher"	"Brétecher"	"forme alternative"
"bretecher"	"Brétecher, Claire"	"forme préférée"
"bretecher"	"Brétecher, G.P."	"forme alternative"
