"id"	"forme"	"label"
"bibliothequeoulipienneenitalien"	"Bibliothèque oulipienne en italien"	"forme préférée"
"bibliothequeoulipiennespecialqueneau"	"Bibliothèque oulipienne « spécial queneau »"	"forme alternative"
"bizarre"	"Bizarre"	"forme préférée"
"blablabla"	"Blablabla"	"forme préférée"
"bleus"	"Bleus"	"forme préférée"
"bobcaroltedalice"	"Bob & Carol & Ted & Alice"	"forme préférée"
"bobcaroltedalice"	"Bob carol ted alice"	"forme alternative"
"bobo"	"Bobo"	"forme préférée"
"boiteaidees"	"Boîte à idées"	"forme préférée"
"bonjourmadameeve"	"Bonjour madame Eve"	"forme préférée"
"bookofrime"	"Book of rime"	"forme préférée"
"bords"	"Bords"	"forme préférée"
"bottin"	"Bottin"	"forme préférée"
"bottinimaginaire"	"Bottin imaginaire"	"forme préférée"
"bouillonkub"	"Bouillon Kub"	"forme préférée"
"bouvardetpecuchet"	"Bouvard et Pécuchet"	"forme préférée"
"breviaireromain"	"Bréviaire romain"	"forme préférée"
"brisdemots"	"Bris de mots"	"forme préférée"
"bucolique"	"Bucolique"	"forme préférée"
"bulletindeleducationnationale"	"Bulletin de l’Éducation nationale"	"forme préférée"
"bulletinducentre"	"Bulletin du centre"	"forme alternative"
"bulletinducentre"	"Bulletin du Centre de Besançon"	"forme préférée"
"Cahier des Amis de Valentin Bru"	"N° spécial"	"forme alternative"
"Cahier des Amis de Valentin Bru"	"N° spécial queneau oulipo"	"forme alternative"
"cahier9"	"Cahier 9"	"forme alternative"
"cahier9"	"Cahiers de Paul Valéry"	"forme préférée"
"cahier9"	"Cahiers. Tome xiii"	"forme alternative"
"cahierdelexicologie"	"Cahier de lexicologie"	"forme préférée"
"cahierqueneau"	"Cahier queneau"	"forme alternative"
"cahierqueneau"	"Cahiers"	"forme alternative"
"cahierqueneau"	"Cahiers Queneau"	"forme préférée"
"cahierqueneau"	"Cahiers rq"	"forme alternative"
"cahiers"	"Cahiers "	"forme alternative"
"cahiersdadasurrealisme"	"Cahiers dada-surréalisme"	"forme préférée"
"cahiersdepataphysique"	"Cahiers de pataphysique"	"forme préférée"
"cahiersdepataphysique"	"Cahiers de pataphysique"	"forme alternative"
"cahiersdepataphysique"	"Les Cahiers"	"forme alternative"
"cahiersdesavb"	"Amis de Valentin Bru"	"forme alternative"
"cahiersdesavb"	"Avb"	"forme alternative"
"cahiersdesavb"	"Cahier des Amis de Valentin Bru"	"forme préférée"
"cahiersdesavb"	"Cahiers des avb"	"forme alternative"
"cahiersdesavb"	"Cahiers valentin bru"	"forme alternative"
"cahiersdumonotone"	"Cahiers du monotone"	"forme préférée"
"cahiersdusud"	"Cahiers du sud"	"forme préférée"
"cahiersjpaulhanno3"	"Cahiers j. Paulhan no.3"	"forme alternative"
"cahiersjpaulhanno3"	"Cahiers Jean Paulhan"	"forme préférée"
"calculmatricielalangage"	"Calcul matriciel à langage"	"forme préférée"
"calligrammes"	"Calligrammes"	"forme préférée"
"calvino"	"Bibliothèque oulipienne (vol. 6, Calvino)"	"forme préférée"
"calvino"	"Calvino"	"forme alternative"
"calvino"	"Le Calvino"	"forme alternative"
"canadadry"	"Canada dry"	"forme préférée"
"canardenchaine"	"Canard enchaîné"	"forme alternative"
"canardenchaine"	"Le Canard enchainé"	"forme alternative"
"canardenchaine"	"Le Canard enchaîné"	"forme préférée"
"cantatricesauve"	"Cantatrice"	"forme alternative"
"cantatricesauve"	"Cantatrice sauve"	"forme alternative"
"cantatricesauve"	"La Cantatrice sauve"	"forme préférée"
"cape"	"Cape"	"forme alternative"
"cape"	"Édition Cape"	"forme alternative"
"cape"	"Ex-cape"	"forme alternative"
"cape"	"Le Dossier « Cape »"	"forme préférée"
"capriccioitaliano"	"Capriccio italiano"	"forme préférée"
"cartepostale"	"Carte postale"	"forme alternative"
"cartepostale"	"Cartes postales"	"forme préférée"
"cartespostales"	"Cartes postales"	"forme alternative"
"cebelaujourdhui"	"Ce bel aujourd’hui"	"forme préférée"
"cecile"	"Cecile"	"forme alternative"
"cecile"	"Cécile"	"forme préférée"
"celuiquipourrissait"	"Celui qui pourrissait"	"forme préférée"
"cene"	"Cène"	"forme alternative"
"cene"	"La Cène"	"forme préférée"
"centanagrammes"	"Cent anagrammes"	"forme préférée"
"centmillemilliards"	"Cent mille milliards"	"forme alternative"
"centmillemilliardsdepoemes"	1014	"forme alternative"
"centmillemilliardsdepoemes"	"10 milliards de poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"100 000 milliards"	"forme alternative"
"centmillemilliardsdepoemes"	"100 000 milliards"	"forme alternative"
