"id"	"forme"	"label"
"cerclepolivanov"	"Cercle Polivanoff"	"forme alternative"
"cerclepolivanov"	"Cercle Polivanov"	"forme préférée"
"cerisy"	"Cerisy"	"forme préférée"
"change"	"Change"	"forme préférée"
"cielcentreinterdisciplinairedetudesludiques"	"CIEL (Centre Interdisciplinaire d’Etudes Ludiques)"	"forme préférée"
"cinzano"	"Cinzano"	"forme préférée"
"circa"	"Centre international de recherche, de création et d'animation (CIRCA)"	"forme préférée"
"circa"	"CIRCA"	"forme alternative"
"circa"	"Circa"	"forme alternative"
"classiqueshachette"	"Classiques Hachette"	"forme préférée"
"clubmediterranee"	"Club Méditerranée"	"forme préférée"
"clubsdeshaschichins"	"Clubs des Haschichins"	"forme préférée"
"centrepompidou"	"CNAC"	"forme alternative"
"centrepompidou"	"CNAC–GP"	"forme alternative"
"centrepompidou"	"CNAC-GP (Centre Pompidou)"	"forme alternative"
"centrenationaldeslettres"	"CNL"	"forme alternative"
"centrenationaldeslettres"	"C.N.L."	"forme alternative"
"centrenationaldeslettres"	"C.N.L"	"forme alternative"
"cnrs"	"C.N.R.S."	"forme préférée"
"cnrs"	"CNRS"	"forme alternative"
"collegedepataphysique"	"Collège"	"forme alternative"
"collegedepataphysique"	"collège"	"forme alternative"
"collegedepataphysique"	"Collège de ‘Pataphysique"	"forme préférée"
"collegedepataphysique"	"Collège de Pataphysique"	"forme alternative"
"collegedepataphysique"	"COLLEGE DE PATAPHYSIQUE"	"forme alternative"
"collegedepataphysique"	"collège ‘Pataphysique"	"forme alternative"
"commissionchargeedaiderlesartistesutilisantlinformatique"	"Commission chargée d’aider les artistes utilisant l’informatique"	"forme préférée"
"commissiondesimprevisibles"	"Commission des Imprévisibles"	"forme préférée"
"commissiondesmythes"	"Commission des mythes"	"forme préférée"
"cuny"	"City University of New York (CUNY)"	"forme préférée"
"cuny"	"CUNY"	"forme alternative"
"dada"	"Dada"	"forme préférée"
"dada"	"dada"	"forme alternative"
"denoel"	"Denoël"	"forme préférée"
"departmentoffrenchofbostontougeuniversity"	"Department of French of Boston Touge University"	"forme préférée"
"dialogue"	"Dialogue"	"forme préférée"
"dictionnairerobert"	"Dictionnaire Robert"	"forme préférée"
"documenteverlag"	"Documente Verlag"	"forme préférée"
"bibliothequejacquesdoucet"	"Doucet"	"forme alternative"
"doverpublications"	"Dover Publications"	"forme préférée"
"drouant"	"Drouant"	"forme préférée"
"dst"	"Direction de la surveillance du territoire (DST)"	"forme préférée"
"dst"	"DST"	"forme alternative"
"editionscape"	"dtions CAP"	"forme alternative"
"dunod"	"Dunod"	"forme préférée"
"dunod"	"DUNOD"	"forme alternative"
"ecoledenamur"	"Ecole de Namur"	"forme préférée"
"ecoledesminesdesaintetienne"	"Ecole des Mines de Saint-Etienne"	"forme préférée"
"ecolenormaledulm"	"Ecole normale d’Ulm"	"forme préférée"
"ecolenormaledumaroc"	"Ecole normale du Maroc"	"forme préférée"
