"id"	"forme"	"label"
"decadedecerisy"	"Décade"	"forme alternative"
"decadedecerisy"	"décade cerisyenne"	"forme alternative"
"decadedecerisy"	"la décade de Cerisy"	"forme alternative"
"decadedecerisy"	"Décade de Cerisy"	"forme préférée"
"decadedecerisy"	"Manifestation"	"forme alternative"
"decadeoulipo"	"Décade Oulipo"	"forme alternative"
"decadeoulipo"	"Décade de l'Oulipo"	"forme préférée"
"decadesurstages"	"Décade sur stages"	"forme préférée"
"delalecturealecriture"	"De la Lecture à l'Écriture"	"forme préférée"
"dialogues"	"Emission « Dialogues »"	"forme préférée"
"dialogues"	"Dialogues"	"forme alternative"
"emissionspecialesurgeorgesperec"	"Émission spéciale sur Georges Perec"	"forme préférée"
"enregistrementdeloulipoaverviers"	"Enregistrement de l'Oulipo à Verviers"	"forme préférée"
"etapesamsterdam"	"Étapes Amsterdam"	"forme préférée"
"europalia"	"EUROPALIA"	"forme alternative"
"europalia"	"Europalia"	"forme préférée"
"expooupeinpo"	"Exposition Oupeinpo"	"forme préférée"
"expooupeinpo"	"Expo Oupeinpo"	"forme alternative"
"exposeaamiens"	"Exposé à Amiens"	"forme préférée"
"exposealenssurloulipoetordinateurs"	"Exposé à l'ENS sur l'Oulipo et ordinateurs"	"forme préférée"
"exposition"	"l'exposition"	"forme alternative"
"exposition"	"exposition temporaire"	"forme alternative"
"exposition"	"Exposition"	"forme préférée"
"expositionasaintcloud"	"Exposition à Saint-Cloud"	"forme préférée"
"expositionblaisegautier"	"Exposition Blaise Gautier"	"forme préférée"
"expositionbn"	"Exposition Bibliothèque nationale"	"forme préférée"
"expositionbn"	"Exposition BN."	"forme alternative"
"expositionconference"	"Exposition Conférence"	"forme préférée"
"expositionmallarme"	"Exposition Mallarmé"	"forme préférée"
"expositionmarcelduchamp"	"Exposition Marcel Duchamp"	"forme préférée"
"expositionoulipo"	"Exposition Oulipo"	"forme préférée"
"expositionpourbourges"	"Exposition pour Bourges"	"forme préférée"
"expositionqueneau"	"Expo Queneau"	"forme alternative"
"expositionqueneau"	"exposition Queneau"	"forme alternative"
"expositionqueneau"	"Exposition Queneau"	"forme préférée"
"expositionrisorangis"	"l'exposition de Ris Orangis"	"forme alternative"
"expositionrisorangis"	"Exposition de Ris Orangis"	"forme préférée"
"expositionvalerenovarina"	"Exposition Valère Novarina"	"forme préférée"
"festivalculturelcalvino"	"Festival Culturel Calvino"	"forme préférée"
"festivaldelanouvelledesaintquentin"	"Festival de la nouvelle de Saint-Quentin"	"forme préférée"
"festivaldelitteraturepourlajeunesse"	"Festival de Littérature pour la jeunesse"	"forme préférée"
"festivaldepoesie"	"Festival de poésie au Centre américain"	"forme alternative"
"festivaldepoesie"	"Festival de poésie"	"forme préférée"
"festivaldevilleneuvelesavignon"	"Festival de Villeneuve-lès-Avignon"	"forme alternative"
"festivaldevilleneuvelesavignon"	"Festival de Villeneuve-les-Avignon"	"forme préférée"
"festivalinternationaldepoesie"	"Festival international de poésie"	"forme préférée"
"festivitesdelaroutedelareine"	"Festivités de la Route de la Reine"	"forme préférée"
"florence"	"Florence"	"forme préférée"
"foiredemexico"	"Foire de Mexico"	"forme préférée"
"grandefiestapataphysique"	"Grande fiesta pataphysique"	"forme préférée"
"hericy"	"Héricy"	"forme préférée"
"hommage"	"Hommage à FLL"	"forme préférée"
"hommage"	"Hommage"	"forme alternative"
"hommageagp"	"Hommage à GP"	"forme alternative"
"hommageagp"	"Hommage à Perec"	"forme préférée"
"hommageaqueneau"	"Hommage à Queneau"	"forme préférée"
"hommagearoubaud"	"Hommage à Roubaud"	"forme préférée"
"interventionalen"	"Intervention à l'E.N."	"forme préférée"
"interventionalen"	"Intervention à l'E.N."	"forme alternative"
"interventionaucentrefrancois"	"Intervention au Centre François"	"forme préférée"
"ivry"	"Ivry"	"forme préférée"
"ivry"	"Ivry. Lecture"	"forme alternative"
"jeuxoulipiques"	"Jeux OuLiPiques"	"forme alternative"
"jeuxoulipiques"	"Jeux OuLiPiques"	"forme préférée"
"journeedes2xii"	"Journée du 2 décembre 1982"	"forme préférée"
"journeedes2xii"	"Journée des 2XII"	"forme alternative"
"journeeecrivainsalgorithmeordinateur"	"journée écrivain-ordinateur de Juin 77"	"forme alternative"
"journeeecrivainsalgorithmeordinateur"	"journée Ecrivains Algorithme ordinateur"	"forme alternative"
"journeeoulipo"	"Journée Oulipo"	"forme préférée"
"journeeoulipo"	"Journée Oulipo 23"	"forme alternative"
"journeeoulipobeaubourg"	"Journée Oulipo à Beaubourg"	"forme préférée"
"journeeoulipobeaubourg"	"Journée Oulipo Beaubourg"	"forme alternative"
"journeepoetiquedu23avril"	"Journée poétique du 23 avril"	"forme préférée"
"journeescbeck"	"journées Ch. Bek"	"forme alternative"
"journeescbeck"	"Journées Christian Beck"	"forme préférée"
"journeescbeck"	"Journées C. Beck"	"forme alternative"
"lacommemorationdu10clinamen"	"Commémoration du 10 clinamen"	"forme préférée"
"lacommemorationdu10clinamen"	"la commémoration du 10 clinamen"	"forme alternative"
"laffaireliegeoise"	"L'affaire liégeoise"	"forme préférée"
"lafureurdelire"	"La fureur de lire"	"forme préférée"
"lahayeorganisationdunstage"	"La Haye"	"forme alternative"
"lahayeorganisationdunstage"	"La Haye organisation d'un stage"	"forme préférée"
"lalectureoulipoautheatreduquartierdivry"	"Lecture Oulipo à Ivry"	"forme préférée"
"lalectureoulipoautheatreduquartierdivry"	"la Lecture oulipo au Théâtre du quartier d'Ivry"	"forme alternative"
"lapierouge"	"Représentation de La Pie rouge "	"forme préférée"
"lapierouge"	"La pie rouge"	"forme alternative"
"larevueparleeror"	"La revue parlée « R.O.R. »"	"forme préférée"
"lecture"	"Lecture"	"forme alternative"
"lecture"	"Lectures"	"forme alternative"
"lecture"	"Lecture"	"forme préférée"
